"","Day","Station","Hour","Mean","Variance"
"40","Weekend","Quezon Ave",23,0.00919230769230769,8.49651426574504e-05
"41","Weekend","GMA Kamuning",4,34.9726826923077,5.64028856139794
"42","Weekend","GMA Kamuning",5,214.224125,239.084950845724
"43","Weekend","GMA Kamuning",6,367.681576923077,757.743254029177
"44","Weekend","GMA Kamuning",7,362.480875,517.737470539974
"45","Weekend","GMA Kamuning",8,420.939307692308,552.702693693694
"46","Weekend","GMA Kamuning",9,414.713846153846,367.380404294827
"47","Weekend","GMA Kamuning",10,415.128923076923,398.75838593179
"48","Weekend","GMA Kamuning",11,461.150538461538,485.356518654749
"49","Weekend","GMA Kamuning",12,468.278653846154,384.190528509279
"50","Weekend","GMA Kamuning",13,409.307240384615,234.930818280466
"51","Weekend","GMA Kamuning",14,400.232586538462,170.875627594958
"52","Weekend","GMA Kamuning",15,426.608038461538,182.499613176786
"53","Weekend","GMA Kamuning",16,501.517596153846,464.694317385063
"54","Weekend","GMA Kamuning",17,551.118105769231,803.493433976784
"55","Weekend","GMA Kamuning",18,453.778971153846,446.89491884923
"56","Weekend","GMA Kamuning",19,339.945769230769,189.027390037967
"57","Weekend","GMA Kamuning",20,251.754346153846,88.5159771176502
"58","Weekend","GMA Kamuning",21,63.7240384615385,7.58315230911385
"59","Weekend","GMA Kamuning",22,3.26604807692308,0.149943900909045
"60","Weekend","GMA Kamuning",23,0.00919230769230769,8.49651426574504e-05
"61","Weekend","Cubao",4,155.749509615385,115.864767356021
"62","Weekend","Cubao",5,744.603490384615,1357.59025046043
"63","Weekend","Cubao",6,813.242067307692,740.929981051225
"64","Weekend","Cubao",7,884.580471153846,768.833584031424
"65","Weekend","Cubao",8,1087.36983653846,771.235993448237
"66","Weekend","Cubao",9,1240.27918269231,750.47804847886
"67","Weekend","Cubao",10,1349.47691346154,801.840869734287
"68","Weekend","Cubao",11,1575.99143269231,826.413433877572
"69","Weekend","Cubao",12,1662.30100961538,1133.05915678761
"70","Weekend","Cubao",13,1671.07599038462,1076.63163640628
"71","Weekend","Cubao",14,1677.13274038462,1062.04294706828
"72","Weekend","Cubao",15,1675.92429807692,1142.01529366561
"73","Weekend","Cubao",16,1732.56763461538,1435.81719782319
"74","Weekend","Cubao",17,1773.56873076923,2090.22999942398
"75","Weekend","Cubao",18,1743.73333653846,2153.94880177061
"76","Weekend","Cubao",19,1537.81673076923,1227.29017889931
"77","Weekend","Cubao",20,1279.49425961538,563.799375243494
"78","Weekend","Cubao",21,437.410875,141.729891007779
"79","Weekend","Cubao",22,20.4729807692308,9.00348035720632
"80","Weekend","Cubao",23,0.147076923076923,0.0217510765203073
"81","Weekend","Santolan",4,4.17931730769231,0.120058279340731
"82","Weekend","Santolan",5,39.4678557692308,7.23515965586518
"83","Weekend","Santolan",6,104.835384615385,81.4645810381387
"84","Weekend","Santolan",7,165.977317307692,210.118865918341
"85","Weekend","Santolan",8,168.457865384615,145.006584624195
"86","Weekend","Santolan",9,180.632048076923,99.3918739108006
"87","Weekend","Santolan",10,166.156105769231,87.5542970647238
"88","Weekend","Santolan",11,174.226884615385,74.9930313804929
"89","Weekend","Santolan",12,200.453769230769,90.837281173185
"90","Weekend","Santolan",13,186.781163461538,76.4054824905342
"91","Weekend","Santolan",14,205.206269230769,124.937608993609
"92","Weekend","Santolan",15,230.612278846154,142.735727098308
"93","Weekend","Santolan",16,267.592048076923,234.346707531403
"94","Weekend","Santolan",17,333.374605769231,524.266511826083
"95","Weekend","Santolan",18,298.357884615385,367.484561632639
"96","Weekend","Santolan",19,220.390269230769,106.337749015287
"97","Weekend","Santolan",20,170.133942307692,24.2180665410233
"98","Weekend","Santolan",21,104.235980769231,5.97166066177124
"99","Weekend","Santolan",22,26.2798076923077,2.95282856821318
"100","Weekend","Santolan",23,0.0827307692307692,0.00688217655525348
"101","Weekend","Ortigas",4,2.68801923076923,0.0583311754802139
"102","Weekend","Ortigas",5,40.6242115384615,5.40804925450599
"103","Weekend","Ortigas",6,147.571865384615,65.2341314432036
"104","Weekend","Ortigas",7,190.670971153846,144.001475128883
"105","Weekend","Ortigas",8,192.187826923077,169.29564502039
"106","Weekend","Ortigas",9,208.862019230769,199.025439409454
"107","Weekend","Ortigas",10,212.812865384615,166.760883345994
"108","Weekend","Ortigas",11,240.049403846154,161.776038515957
"109","Weekend","Ortigas",12,316.909384615385,247.065242222992
"110","Weekend","Ortigas",13,329.135721153846,191.738311885758
"111","Weekend","Ortigas",14,393.537942307692,257.215617159689
"112","Weekend","Ortigas",15,505.144490384615,452.917075384464
"113","Weekend","Ortigas",16,583.133740384615,739.965361322769
"114","Weekend","Ortigas",17,692.752230769231,1783.48589660074
"115","Weekend","Ortigas",18,691.399192307692,1935.68743722865
"116","Weekend","Ortigas",19,539.732528846154,904.470448768943
"117","Weekend","Ortigas",20,401.496355769231,345.408247870559
"118","Weekend","Ortigas",21,214.391480769231,73.0292918847102
"119","Weekend","Ortigas",22,40.3115096153846,3.5365164897701
"120","Weekend","Ortigas",23,0.275769230769231,0.0764686283917053
"121","Weekend","Shaw Blvd",4,20.2032788461538,3.35870792380768
"122","Weekend","Shaw Blvd",5,291.350480769231,222.924249091917
"123","Weekend","Shaw Blvd",6,636.4255,913.098255660986
"124","Weekend","Shaw Blvd",7,875.939076923077,1659.670111967
"125","Weekend","Shaw Blvd",8,915.583307692308,1130.00079398037
"126","Weekend","Shaw Blvd",9,943.490182692308,738.316467406663
"127","Weekend","Shaw Blvd",10,940.096846153846,521.6620804251
"128","Weekend","Shaw Blvd",11,1007.87961538462,587.120579307118
"129","Weekend","Shaw Blvd",12,1108.29174038462,849.334992788554
"130","Weekend","Shaw Blvd",13,1121.40214423077,778.951427913768
"131","Weekend","Shaw Blvd",14,1177.01423076923,863.069312803928
"132","Weekend","Shaw Blvd",15,1322.58227884615,1140.8255898975
"133","Weekend","Shaw Blvd",16,1395.86227884615,1647.39830406137
"134","Weekend","Shaw Blvd",17,1447.77228846154,2657.33280866628
"135","Weekend","Shaw Blvd",18,1464.04176923077,2744.29237925648
"136","Weekend","Shaw Blvd",19,1271.99178846154,1577.06508511877
"137","Weekend","Shaw Blvd",20,1059.23025961538,812.208818858707
"138","Weekend","Shaw Blvd",21,655.810509615385,217.652092102365
"139","Weekend","Shaw Blvd",22,100.860163461538,46.6619593105495
"140","Weekend","Shaw Blvd",23,0.478,0.221331636370098
"141","Weekend","Boni Ave",4,5.36157692307692,0.273230255403332
"142","Weekend","Boni Ave",5,154.304788461538,61.2110482150049
"143","Weekend","Boni Ave",6,474.420932692308,822.16542885998
"144","Weekend","Boni Ave",7,675.346451923077,2050.02909215049
"145","Weekend","Boni Ave",8,644.488644230769,938.305521149756
"146","Weekend","Boni Ave",9,635.403663461538,396.304775803818
"147","Weekend","Boni Ave",10,651.995394230769,217.269050444583
"148","Weekend","Boni Ave",11,659.297317307692,220.090681543137
"149","Weekend","Boni Ave",12,727.161076923077,320.469950950951
"150","Weekend","Boni Ave",13,730.238807692308,256.802541178753
"151","Weekend","Boni Ave",14,725.850269230769,264.719673150962
"152","Weekend","Boni Ave",15,743.977826923077,287.940721820563
"153","Weekend","Boni Ave",16,754.611769230769,392.093030958473
"154","Weekend","Boni Ave",17,808.932509615385,964.5396193752
"155","Weekend","Boni Ave",18,739.962836538461,936.949398619681
"156","Weekend","Boni Ave",19,610.680951923077,720.181564722914
"157","Weekend","Boni Ave",20,460.561221153846,373.997777947233
"158","Weekend","Boni Ave",21,317.249461538462,139.133125068856
"159","Weekend","Boni Ave",22,71.682375,22.8820156982982
"160","Weekend","Boni Ave",23,0.321730769230769,0.104082299755377
"161","Weekend","Guadalupe",4,2.41995192307692,0.14129952576467
